"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "SCSS", "XML", "wxml", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\type.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 23, 81
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group-props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group-props.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group.d.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 1, 124
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group.wxml", "wxml", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 1, 17
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar-group.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 1, 76
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar.d.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar.wxml", "wxml", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar.wxs", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\avatar.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 110
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\common.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\props.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\type.d.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\avatar\type.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 13, 44
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\back-top.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\back-top.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\back-top.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\back-top.wxml", "wxml", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\back-top.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 1, 117
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\props.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\type.d.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\back-top\type.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 18, 57
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\badge.d.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\badge.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\badge.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\badge.wxml", "wxml", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\badge.wxs", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\badge.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 1, 98
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\index.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\props.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\props.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\badge\type.d.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
